model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize
3 series,2018-01-01,21495,semi-auto,23000,diesel,145,62.8,2.0
2 series,2016-01-01,16950,semi-auto,47385,petrol,160,47.1,2.0
1 series,2019-01-01,22995,semi-auto,8332,petrol,150,42.8,1.5
3 series,2019-01-01,27888,semi-auto,10268,diesel,150,52.3,2.0
3 series,2019-01-01,26995,semi-auto,11355,diesel,150,52.3,2.0
1 series,2019-01-01,23995,manual,6196,petrol,150,41.5,1.5
3 series,2019-01-01,28995,automatic,8446,diesel,145,52.3,2.0
x1,2018-01-01,23450,automatic,18487,diesel,145,60.1,2.0
3 series,2019-01-01,35995,automatic,5500,petrol,145,39.8,2.0
4 series,2019-01-01,38995,automatic,5500,petrol,145,41.5,3.0
3 series,2020-01-01,36995,automatic,3500,diesel,145,45.6,3.0
x3,2020-01-01,37495,automatic,4500,diesel,145,54.3,2.0
2 series,2018-01-01,23999,semi-auto,14258,petrol,150,32.5,3.0
4 series,2019-01-01,27950,semi-auto,8028,diesel,150,53.3,3.0
5 series,2020-01-01,32495,semi-auto,931,hybrid,145,49.6,2.0
x1,2020-01-01,30495,semi-auto,3530,diesel,145,40.9,2.0
3 series,2020-01-01,36999,semi-auto,5500,diesel,145,45.6,3.0
1 series,2017-01-01,16444,semi-auto,20848,petrol,145,48.7,2.0
x3,2019-01-01,56950,semi-auto,6597,petrol,145,24.8,3.0
x6,2018-01-01,38995,semi-auto,18212,diesel,145,40.9,3.0
1 series,2015-01-01,11750,manual,10889,diesel,0,78.5,1.5
x6,2015-01-01,25000,semi-auto,26100,diesel,205,45.6,3.0
3 series,2018-01-01,20995,semi-auto,19252,diesel,145,64.2,2.0
x1,2017-01-01,20495,semi-auto,16665,diesel,125,57.6,2.0
5 series,2019-01-01,29995,semi-auto,9848,petrol,150,48.7,2.0
5 series,2019-01-01,29999,semi-auto,6737,petrol,150,48.7,2.0
3 series,2019-01-01,27888,semi-auto,10430,diesel,150,52.3,2.0
4 series,2016-01-01,15500,semi-auto,59461,diesel,30,65.7,2.0
x5,2020-01-01,63995,automatic,5000,hybrid,135,188.3,3.0
x4,2020-01-01,44495,automatic,5000,diesel,145,40.9,3.0
3 series,2017-01-01,19995,semi-auto,20766,hybrid,0,134.5,2.0
4 series,2018-01-01,21250,automatic,14238,diesel,145,65.7,2.0
2 series,2019-01-01,26995,automatic,2630,diesel,145,49.6,2.0
x2,2019-01-01,35999,automatic,6026,petrol,145,34.0,2.0
5 series,2019-01-01,31444,automatic,2404,diesel,145,65.7,2.0
5 series,2019-01-01,34999,automatic,7195,diesel,145,60.1,2.0
3 series,2019-01-01,26995,semi-auto,10624,petrol,150,42.2,2.0
5 series,2019-01-01,25995,semi-auto,7554,petrol,150,50.4,2.0
3 series,2019-01-01,26995,semi-auto,12399,diesel,150,52.3,2.0
3 series,2019-01-01,26995,semi-auto,8021,diesel,150,52.3,2.0
3 series,2019-01-01,27888,semi-auto,10622,diesel,150,52.3,2.0
3 series,2019-01-01,24500,semi-auto,10125,petrol,150,47.9,2.0
3 series,2019-01-01,24995,semi-auto,7585,petrol,150,47.9,2.0
3 series,2020-01-01,32995,automatic,4000,diesel,145,50.4,2.0
1 series,2020-01-01,26995,automatic,1500,diesel,145,51.4,2.0
x3,2020-01-01,37999,automatic,2789,diesel,145,54.3,2.0
x1,2020-01-01,32995,automatic,1593,diesel,145,50.4,2.0
5 series,2019-01-01,26990,automatic,7824,petrol,145,50.4,2.0
x5,2019-01-01,44995,automatic,6495,diesel,145,36.7,3.0
1 series,2019-01-01,16500,manual,5500,diesel,145,72.4,1.5
3 series,2019-01-01,28888,automatic,9267,diesel,145,52.3,2.0
x7,2019-01-01,62995,automatic,11055,diesel,145,33.6,3.0
2 series,2019-01-01,21950,manual,5500,petrol,145,42.2,1.5
4 series,2019-01-01,29999,automatic,1500,petrol,145,45.6,2.0
1 series,2019-01-01,20999,semi-auto,7351,diesel,145,68.9,2.0
2 series,2015-01-01,14950,manual,46555,diesel,125,60.1,2.0
3 series,2019-01-01,23450,semi-auto,13713,petrol,150,48.7,2.0
3 series,2020-01-01,33995,automatic,10,diesel,145,50.4,2.0
3 series,2020-01-01,42995,automatic,7500,petrol,145,33.6,3.0
1 series,2020-01-01,34999,automatic,197,diesel,145,48.7,2.0
z4,2020-01-01,35995,automatic,2500,petrol,145,38.7,2.0
8 series,2020-01-01,74995,semi-auto,4500,diesel,145,26.7,3.0
7 series,2020-01-01,53995,semi-auto,3500,diesel,145,42.2,3.0
x3,2013-01-01,15000,semi-auto,54150,diesel,165,50.4,2.0
i3,2017-01-01,21444,automatic,22063,hybrid,0,470.8,0.0
1 series,2018-01-01,23750,semi-auto,11941,petrol,145,39.8,3.0
1 series,2018-01-01,14999,manual,12955,diesel,145,51.4,1.5
1 series,2017-01-01,15850,manual,39806,diesel,145,62.8,2.0
2 series,2019-01-01,19495,automatic,8500,diesel,145,54.3,1.5
3 series,2016-01-01,17297,automatic,59300,diesel,200,49.6,3.0
x4,2019-01-01,34500,semi-auto,15411,diesel,150,40.9,3.0
x5,2018-01-01,33990,automatic,29150,diesel,150,47.1,3.0
x1,2016-01-01,17360,semi-auto,25710,diesel,30,65.7,2.0
4 series,2019-01-01,28999,automatic,8182,diesel,145,52.3,3.0
x1,2017-01-01,21995,manual,15900,diesel,145,60.1,2.0
5 series,2020-01-01,42995,automatic,7500,hybrid,135,156.9,2.0
1 series,2017-01-01,21140,semi-auto,27150,petrol,145,39.8,3.0
1 series,2017-01-01,16270,semi-auto,46440,petrol,145,47.9,2.0
x1,2016-01-01,15270,manual,55000,diesel,125,58.9,2.0
1 series,2016-01-01,19950,semi-auto,23210,petrol,200,39.8,3.0
x1,2017-01-01,18990,semi-auto,32420,diesel,145,55.4,2.0
3 series,2013-01-01,12330,semi-auto,10050,petrol,160,47.1,2.0
x4,2015-01-01,19660,semi-auto,52020,diesel,145,54.3,2.0
1 series,2016-01-01,15090,semi-auto,30480,petrol,125,54.3,1.5
5 series,2016-01-01,17160,semi-auto,15830,diesel,30,62.8,2.0
4 series,2017-01-01,16507,automatic,26800,diesel,30,65.7,2.0
3 series,2014-01-01,12890,semi-auto,52106,diesel,30,62.8,2.0
4 series,2013-01-01,12220,semi-auto,73023,diesel,125,57.6,3.0
3 series,2017-01-01,15290,semi-auto,61610,petrol,150,48.7,2.0
4 series,2016-01-01,18430,semi-auto,22220,diesel,30,65.7,2.0
3 series,2015-01-01,11990,manual,78053,petrol,165,44.8,2.0
3 series,2018-01-01,18495,semi-auto,26231,diesel,145,64.2,2.0
x1,2016-01-01,17567,manual,23557,diesel,125,58.9,2.0
2 series,2015-01-01,16950,automatic,33300,petrol,260,37.2,3.0
1 series,2016-01-01,14652,manual,9461,diesel,20,70.6,1.5
3 series,2019-01-01,39950,semi-auto,1341,diesel,150,43.5,3.0
1 series,2013-01-01,11450,manual,66621,petrol,205,42.8,2.0
5 series,2020-01-01,35995,automatic,2500,hybrid,145,62.8,2.0
4 series,2020-01-01,32583,automatic,2500,petrol,145,48.7,2.0
m2,2020-01-01,46995,automatic,4500,petrol,145,29.1,3.0
1 series,2020-01-01,32495,automatic,10,diesel,145,48.7,2.0
x2,2020-01-01,34999,automatic,1217,diesel,145,58.9,2.0
x4,2020-01-01,40995,automatic,10,diesel,145,42.8,2.0
x2,2020-01-01,37995,automatic,2500,petrol,145,34.0,2.0
3 series,2014-01-01,12990,semi-auto,67617,diesel,125,57.6,3.0
3 series,2017-01-01,17540,automatic,35630,diesel,145,62.8,2.0
1 series,2017-01-01,14600,semi-auto,37566,diesel,150,67.3,2.0
2 series,2017-01-01,13591,manual,15001,diesel,145,74.3,1.5
x1,2016-01-01,15991,manual,39917,diesel,125,58.9,2.0
x1,2016-01-01,17900,semi-auto,18713,diesel,150,55.4,2.0
4 series,2016-01-01,19950,automatic,20600,diesel,125,60.1,2.0
4 series,2019-01-01,27450,semi-auto,6124,petrol,150,45.6,2.0
x5,2019-01-01,51950,semi-auto,13,diesel,150,37.7,3.0
4 series,2017-01-01,20450,semi-auto,26680,petrol,150,45.6,2.0
3 series,2018-01-01,16950,semi-auto,27641,diesel,150,65.7,2.0
3 series,2019-01-01,25450,semi-auto,9368,diesel,150,52.3,2.0
3 series,2017-01-01,19450,semi-auto,31508,diesel,150,62.8,2.0
2 series,2019-01-01,23450,semi-auto,8371,petrol,150,48.7,1.5
x5,2019-01-01,47950,semi-auto,6960,diesel,150,37.7,3.0
7 series,2019-01-01,42950,semi-auto,19870,petrol,150,33.6,3.0
1 series,2020-01-01,27495,semi-auto,1500,diesel,145,51.4,2.0
3 series,2020-01-01,39995,semi-auto,5302,diesel,145,45.6,3.0
3 series,2020-01-01,33495,semi-auto,4500,diesel,145,48.7,2.0
x1,2017-01-01,18950,semi-auto,40519,diesel,125,57.6,2.0
2 series,2018-01-01,19950,semi-auto,27312,diesel,145,57.6,2.0
3 series,2015-01-01,17450,semi-auto,55109,diesel,160,51.4,3.0
1 series,2015-01-01,13950,manual,36916,petrol,150,50.4,1.6
1 series,2018-01-01,18450,semi-auto,14324,diesel,150,49.6,2.0
5 series,2020-01-01,31995,semi-auto,6000,hybrid,145,60.1,2.0
3 series,2020-01-01,34995,semi-auto,10,diesel,145,49.6,2.0
x2,2020-01-01,32495,semi-auto,1255,diesel,145,58.9,2.0
5 series,2020-01-01,34995,semi-auto,10,hybrid,145,49.6,2.0
1 series,2020-01-01,31495,semi-auto,1250,diesel,145,48.7,2.0
3 series,2020-01-01,33995,semi-auto,4500,diesel,145,50.4,2.0
3 series,2020-01-01,36495,semi-auto,789,diesel,145,49.6,2.0
2 series,2020-01-01,22950,manual,14,petrol,145,52.3,1.5
1 series,2019-01-01,22950,manual,2181,diesel,145,72.4,1.5
2 series,2020-01-01,25450,semi-auto,6,diesel,145,49.6,2.0
4 series,2020-01-01,35450,semi-auto,10,diesel,145,47.9,3.0
5 series,2020-01-01,29950,semi-auto,9,hybrid,145,49.6,2.0
3 series,2019-01-01,25450,semi-auto,11208,diesel,145,52.3,2.0
5 series,2019-01-01,30450,semi-auto,10191,hybrid,135,156.9,2.0
x3,2019-01-01,34450,semi-auto,5015,diesel,145,54.3,2.0
x2,2019-01-01,31950,semi-auto,6801,diesel,145,58.9,2.0
2 series,2019-01-01,20450,semi-auto,7404,petrol,145,53.3,1.5
3 series,2016-01-01,14950,semi-auto,51741,diesel,30,62.8,2.0
1 series,2018-01-01,13450,manual,33113,diesel,150,68.9,2.0
3 series,2019-01-01,31450,semi-auto,4618,diesel,150,52.3,2.0
x4,2019-01-01,42450,semi-auto,10910,diesel,150,42.8,2.0
4 series,2019-01-01,25950,semi-auto,11259,diesel,150,60.1,2.0
x3,2015-01-01,20950,semi-auto,28416,diesel,150,54.3,2.0
3 series,2018-01-01,21450,semi-auto,16244,petrol,150,48.7,2.0
5 series,2019-01-01,38450,automatic,14522,diesel,145,62.8,2.0
4 series,2019-01-01,30999,semi-auto,8701,petrol,145,41.5,3.0
x3,2019-01-01,39999,semi-auto,3769,petrol,145,34.5,3.0
x5,2019-01-01,52999,semi-auto,6297,petrol,145,27.2,3.0
3 series,2019-01-01,22950,semi-auto,6414,diesel,145,62.8,2.0
2 series,2019-01-01,23450,semi-auto,3564,petrol,145,50.4,2.0
x1,2016-01-01,16950,semi-auto,35900,diesel,125,60.1,2.0
m4,2017-01-01,33450,semi-auto,25777,petrol,145,34.0,3.0
4 series,2017-01-01,19950,semi-auto,18801,diesel,30,65.7,2.0
4 series,2017-01-01,18700,semi-auto,21950,diesel,145,65.7,2.0
3 series,2017-01-01,17150,semi-auto,35825,diesel,145,62.8,2.0
x1,2018-01-01,16470,manual,27041,diesel,150,68.9,2.0
x2,2019-01-01,26499,manual,2424,diesel,145,49.6,2.0
3 series,2019-01-01,27999,semi-auto,7035,diesel,145,48.7,2.0
2 series,2019-01-01,21999,semi-auto,9957,diesel,145,49.6,2.0
6 series,2019-01-01,31999,semi-auto,7994,petrol,145,42.8,2.0
2 series,2019-01-01,23999,semi-auto,6883,petrol,145,47.9,2.0
5 series,2019-01-01,39999,semi-auto,5877,diesel,145,60.1,2.0
x3,2019-01-01,36999,automatic,1500,diesel,145,54.3,2.0
5 series,2019-01-01,38995,automatic,6500,hybrid,135,156.9,2.0
x3,2019-01-01,36999,automatic,7105,diesel,145,54.3,2.0
4 series,2019-01-01,32995,manual,3500,petrol,145,46.3,2.0
2 series,2019-01-01,22950,semi-auto,8539,petrol,145,50.4,1.5
3 series,2014-01-01,12450,manual,56523,diesel,125,57.6,2.0
x3,2016-01-01,22950,semi-auto,9214,diesel,150,54.3,2.0
5 series,2018-01-01,28950,semi-auto,15878,diesel,150,53.3,3.0
2 series,2015-01-01,15950,manual,25652,petrol,125,53.3,1.5
4 series,2019-01-01,26950,semi-auto,3849,diesel,145,60.1,2.0
x2,2019-01-01,26450,manual,3172,diesel,145,55.4,2.0
4 series,2019-01-01,26950,semi-auto,4842,diesel,145,60.1,2.0
x1,2020-01-01,26950,manual,18,petrol,145,49.6,1.5
4 series,2019-01-01,26950,semi-auto,8812,diesel,145,60.1,2.0
z4,2019-01-01,27450,semi-auto,7363,petrol,145,38.2,2.0
5 series,2019-01-01,31950,semi-auto,10776,diesel,145,60.1,3.0
4 series,2019-01-01,33495,automatic,99,petrol,145,48.7,2.0
x3,2019-01-01,36995,automatic,3500,diesel,145,54.3,2.0
x3,2019-01-01,34950,automatic,5325,diesel,145,54.3,2.0
x3,2019-01-01,36950,automatic,2500,diesel,145,54.3,2.0
x3,2019-01-01,35999,automatic,7000,diesel,145,54.3,2.0
4 series,2019-01-01,34995,automatic,3999,petrol,145,41.5,3.0
z4,2015-01-01,16450,semi-auto,22583,petrol,200,41.5,2.0
2 series,2019-01-01,20950,manual,4434,diesel,145,64.2,2.0
1 series,2018-01-01,19950,semi-auto,9271,petrol,145,47.9,2.0
1 series,2016-01-01,12950,manual,52647,diesel,30,65.7,2.0
x4,2016-01-01,21950,semi-auto,50944,diesel,205,47.9,3.0
5 series,2017-01-01,20950,semi-auto,37034,diesel,150,65.7,2.0
5 series,2020-01-01,29450,semi-auto,10,petrol,145,36.2,2.0
3 series,2020-01-01,22950,manual,11,diesel,145,58.9,2.0
2 series,2020-01-01,23450,semi-auto,8,diesel,145,67.3,2.0
3 series,2020-01-01,29950,semi-auto,20,petrol,145,41.5,2.0
2 series,2020-01-01,23950,semi-auto,11,petrol,145,50.4,1.5
x3,2019-01-01,33450,semi-auto,2839,diesel,145,54.3,2.0
5 series,2019-01-01,30450,semi-auto,4885,diesel,145,60.1,2.0
4 series,2019-01-01,26450,semi-auto,3989,petrol,145,45.6,2.0
x5,2019-01-01,52950,semi-auto,3309,petrol,145,27.2,3.0
1 series,2019-01-01,22950,semi-auto,4811,diesel,145,60.1,2.0
4 series,2020-01-01,26950,semi-auto,10,diesel,145,65.7,2.0
3 series,2016-01-01,17450,semi-auto,16413,diesel,30,62.8,2.0
3 series,2019-01-01,31450,semi-auto,3000,petrol,145,42.2,2.0
1 series,2018-01-01,22950,semi-auto,14537,diesel,150,60.1,2.0
2 series,2019-01-01,24950,semi-auto,4534,diesel,145,46.3,2.0
x5,2017-01-01,31950,automatic,27932,diesel,145,47.1,3.0
1 series,2019-01-01,18950,semi-auto,7990,diesel,145,68.9,1.5
x7,2019-01-01,73950,semi-auto,9121,diesel,145,31.4,3.0
2 series,2019-01-01,20450,semi-auto,3344,diesel,145,49.6,2.0
4 series,2019-01-01,26450,semi-auto,3376,diesel,145,60.1,2.0
3 series,2019-01-01,23950,semi-auto,5445,diesel,145,62.8,2.0
x6,2015-01-01,36950,semi-auto,22032,petrol,570,25.4,4.4
3 series,2019-01-01,25950,semi-auto,2344,diesel,145,62.8,2.0
2 series,2019-01-01,21950,semi-auto,9275,petrol,145,40.9,1.5
2 series,2019-01-01,18450,manual,7293,diesel,145,54.3,2.0
1 series,2019-01-01,21950,manual,101,diesel,145,70.6,1.5
1 series,2019-01-01,18950,manual,6675,diesel,145,70.6,1.5
x4,2019-01-01,46450,semi-auto,9374,diesel,145,37.2,3.0
1 series,2019-01-01,22871,manual,3000,petrol,145,41.5,1.5
x3,2019-01-01,31450,semi-auto,9053,diesel,145,54.3,2.0
x2,2019-01-01,26950,semi-auto,11386,diesel,145,58.9,2.0
2 series,2020-01-01,34950,semi-auto,1107,diesel,145,62.8,2.0
2 series,2020-01-01,32450,semi-auto,1118,diesel,145,51.4,2.0
6 series,2020-01-01,44950,semi-auto,1237,diesel,145,44.1,2.0
2 series,2019-01-01,22950,manual,9688,diesel,145,65.7,2.0
2 series,2019-01-01,21950,semi-auto,7423,diesel,145,65.7,2.0
2 series,2019-01-01,24950,semi-auto,13,diesel,145,62.8,2.0
2 series,2019-01-01,25450,semi-auto,13,diesel,145,62.8,2.0
x3,2019-01-01,34950,semi-auto,14,diesel,145,54.3,2.0
4 series,2019-01-01,30950,semi-auto,6212,petrol,145,44.8,2.0
2 series,2019-01-01,20950,semi-auto,6418,petrol,145,47.9,2.0
1 series,2019-01-01,18450,semi-auto,8644,diesel,145,47.9,1.5
2 series,2019-01-01,21950,manual,10,diesel,145,64.2,2.0
x2,2019-01-01,25450,semi-auto,9467,diesel,145,50.4,2.0
3 series,2019-01-01,28450,semi-auto,13998,petrol,145,42.2,2.0
3 series,2019-01-01,28450,semi-auto,14850,diesel,145,48.7,2.0
1 series,2019-01-01,19950,manual,10,petrol,145,53.3,1.5
3 series,2019-01-01,33450,semi-auto,5004,diesel,145,49.6,2.0
z4,2019-01-01,32450,semi-auto,9955,petrol,145,38.7,2.0
x2,2019-01-01,27450,semi-auto,14368,diesel,145,58.9,2.0
3 series,2019-01-01,33134,semi-auto,5,diesel,145,52.3,2.0
1 series,2018-01-01,20450,semi-auto,14602,diesel,145,60.1,2.0
m4,2016-01-01,99950,automatic,771,petrol,300,33.2,3.0
x4,2017-01-01,23000,semi-auto,18441,diesel,145,54.3,2.0
5 series,2019-01-01,33495,semi-auto,4913,diesel,145,51.4,3.0
x5,2019-01-01,45000,semi-auto,9450,diesel,145,37.7,3.0
1 series,2015-01-01,16950,semi-auto,38178,petrol,240,37.7,3.0
3 series,2019-01-01,25950,semi-auto,3655,diesel,150,52.3,2.0
2 series,2016-01-01,12000,manual,37847,petrol,125,53.3,1.5
3 series,2019-01-01,29500,semi-auto,5000,diesel,145,48.7,2.0
x4,2017-01-01,25000,semi-auto,18150,diesel,200,47.9,3.0
5 series,2017-01-01,24995,semi-auto,50195,petrol,150,39.2,3.0
2 series,2017-01-01,14000,semi-auto,19826,petrol,150,55.4,1.5
2 series,2016-01-01,14495,semi-auto,39326,petrol,125,51.4,1.5
5 series,2015-01-01,14789,semi-auto,44684,diesel,125,60.1,2.0
3 series,2015-01-01,17990,automatic,27369,diesel,160,51.4,3.0
2 series,2018-01-01,19950,semi-auto,10206,petrol,145,50.4,1.5
3 series,2016-01-01,16950,semi-auto,28059,diesel,30,62.8,2.0
2 series,2017-01-01,17950,semi-auto,10816,petrol,145,51.4,1.5
2 series,2019-01-01,30450,semi-auto,20,diesel,145,62.8,2.0
x3,2019-01-01,35450,semi-auto,8891,diesel,145,54.3,2.0
4 series,2019-01-01,37450,semi-auto,10,diesel,145,60.1,2.0
x2,2020-01-01,36950,semi-auto,10,diesel,145,50.4,2.0
5 series,2019-01-01,31450,semi-auto,500,diesel,145,62.8,2.0
x1,2019-01-01,23450,manual,10,petrol,145,51.4,1.5
1 series,2019-01-01,23450,manual,10,diesel,145,70.6,1.5
3 series,2018-01-01,21450,semi-auto,5184,diesel,145,64.2,2.0
2 series,2020-01-01,29950,semi-auto,10,diesel,145,48.7,2.0
1 series,2020-01-01,26495,semi-auto,10,petrol,145,42.8,1.5
3 series,2020-01-01,39950,semi-auto,10,diesel,145,48.7,2.0
x2,2019-01-01,25450,semi-auto,5652,diesel,145,47.9,2.0
2 series,2020-01-01,26000,semi-auto,1501,petrol,145,42.2,1.5
1 series,2019-01-01,23000,manual,2361,petrol,145,41.5,1.5
3 series,2019-01-01,31000,semi-auto,2974,diesel,145,49.6,2.0
4 series,2019-01-01,27000,semi-auto,100,diesel,145,65.7,2.0
3 series,2019-01-01,31000,semi-auto,100,diesel,145,52.3,2.0
2 series,2019-01-01,21000,manual,50,petrol,145,52.3,1.5
1 series,2019-01-01,25000,semi-auto,1705,diesel,145,51.4,2.0
1 series,2019-01-01,15950,manual,8004,petrol,150,53.3,1.5
3 series,2019-01-01,30950,semi-auto,3724,diesel,145,52.3,2.0
x5,2019-01-01,50950,semi-auto,4322,diesel,150,37.7,3.0
2 series,2019-01-01,21950,semi-auto,7211,petrol,150,47.9,2.0
1 series,2019-01-01,25950,semi-auto,6581,diesel,145,67.3,2.0
3 series,2019-01-01,29450,semi-auto,5392,diesel,145,52.3,2.0
x2,2020-01-01,31000,semi-auto,1121,petrol,145,34.0,2.0
z4,2020-01-01,31000,semi-auto,1595,petrol,145,38.7,2.0
1 series,2019-01-01,18000,manual,6097,petrol,145,53.3,1.5
3 series,2019-01-01,27000,semi-auto,4814,diesel,145,52.3,2.0
3 series,2020-01-01,34000,semi-auto,1595,diesel,145,50.4,2.0
x6,2020-01-01,55995,semi-auto,3291,diesel,145,33.2,3.0
2 series,2016-01-01,14995,manual,13250,diesel,20,68.9,2.0
1 series,2013-01-01,8995,manual,56361,diesel,30,62.8,2.0
x3,2015-01-01,17495,semi-auto,38013,diesel,150,54.3,2.0
1 series,2019-01-01,33000,semi-auto,2250,petrol,150,34.5,2.0
x3,2017-01-01,19000,semi-auto,33316,diesel,150,54.3,2.0
x3,2018-01-01,29500,semi-auto,28885,diesel,150,48.7,3.0
m3,2015-01-01,31000,semi-auto,16517,petrol,305,34.0,3.0
2 series,2016-01-01,15995,semi-auto,24735,diesel,30,62.8,2.0
3 series,2020-01-01,32000,semi-auto,1798,diesel,145,52.3,2.0
3 series,2018-01-01,22995,semi-auto,8259,petrol,145,48.7,2.0
3 series,2014-01-01,11650,semi-auto,89096,diesel,145,55.4,2.0
1 series,2016-01-01,10540,manual,69981,petrol,125,53.3,1.5
1 series,2017-01-01,11030,manual,35321,diesel,145,83.1,1.5
3 series,2014-01-01,12360,semi-auto,68469,diesel,125,57.6,2.0
1 series,2017-01-01,13700,automatic,20574,diesel,145,70.6,2.0
x3,2017-01-01,19391,semi-auto,58044,diesel,145,54.3,2.0
7 series,2017-01-01,38950,semi-auto,7500,petrol,150,35.3,4.4
m4,2019-01-01,46950,semi-auto,4500,petrol,150,32.5,3.0
1 series,2019-01-01,18000,manual,4696,petrol,145,53.3,1.5
3 series,2020-01-01,29999,semi-auto,9,diesel,145,50.4,2.0
6 series,2020-01-01,33999,semi-auto,11,petrol,145,42.8,2.0
3 series,2020-01-01,25999,manual,4,diesel,145,54.3,2.0
4 series,2020-01-01,39225,semi-auto,10,petrol,145,48.7,2.0
4 series,2020-01-01,48155,semi-auto,10,petrol,145,44.8,2.0
x4,2019-01-01,45000,semi-auto,7815,petrol,145,26.9,3.0
2 series,2016-01-01,17450,semi-auto,31473,diesel,145,55.4,2.0
x3,2020-01-01,36000,semi-auto,3116,diesel,145,54.3,2.0
2 series,2020-01-01,28000,semi-auto,1501,diesel,145,65.7,2.0
1 series,2020-01-01,27000,semi-auto,1501,diesel,145,51.4,2.0
m2,2020-01-01,46000,semi-auto,1501,petrol,145,29.1,3.0
x1,2019-01-01,29500,semi-auto,6000,diesel,145,60.1,2.0
x1,2019-01-01,23000,manual,1701,petrol,145,51.4,1.5
x1,2017-01-01,19995,semi-auto,20570,diesel,145,55.4,2.0
3 series,2019-01-01,28000,manual,6899,diesel,145,54.3,2.0
3 series,2019-01-01,29000,semi-auto,8555,petrol,145,40.9,2.0
x1,2019-01-01,25000,semi-auto,8650,diesel,145,60.1,2.0
x5,2019-01-01,49000,semi-auto,6170,diesel,145,37.7,3.0
x1,2014-01-01,11000,semi-auto,50924,diesel,160,52.3,2.0
x7,2020-01-01,72000,semi-auto,3116,diesel,145,31.4,3.0
3 series,2018-01-01,19995,semi-auto,21657,diesel,145,62.8,2.0
5 series,2019-01-01,41070,automatic,10,diesel,145,65.7,2.0
2 series,2019-01-01,33440,automatic,10,diesel,145,64.2,2.0
4 series,2019-01-01,34995,automatic,10,petrol,145,45.6,2.0
4 series,2019-01-01,34995,automatic,10,petrol,145,45.6,2.0
5 series,2019-01-01,29888,automatic,14139,diesel,145,55.4,2.0
x3,2019-01-01,42795,semi-auto,999,diesel,145,48.7,3.0
x5,2019-01-01,51995,semi-auto,11,diesel,145,37.7,3.0
3 series,2020-01-01,27999,semi-auto,6,petrol,145,42.2,2.0
x6,2020-01-01,58999,semi-auto,3,petrol,145,26.4,3.0
2 series,2016-01-01,13995,semi-auto,42569,diesel,20,68.9,1.5
5 series,2018-01-01,29995,semi-auto,39000,diesel,150,51.4,3.0
x6,2019-01-01,55000,semi-auto,2455,diesel,145,34.9,3.0
4 series,2020-01-01,48155,semi-auto,10,petrol,145,44.8,2.0
1 series,2017-01-01,14000,manual,32380,diesel,30,65.7,2.0
x1,2019-01-01,23000,manual,1571,petrol,145,51.4,1.5
1 series,2017-01-01,14500,manual,13681,diesel,145,65.7,2.0
2 series,2015-01-01,13000,semi-auto,47555,diesel,30,65.7,2.0
5 series,2016-01-01,13995,semi-auto,45850,diesel,20,68.9,2.0
2 series,2017-01-01,15450,manual,20663,petrol,30,55.4,1.5
2 series,2020-01-01,28950,semi-auto,10,petrol,145,40.9,1.5
3 series,2020-01-01,39950,semi-auto,10,diesel,145,48.7,2.0
x3,2019-01-01,41450,semi-auto,5425,diesel,145,36.7,3.0
1 series,2019-01-01,23500,semi-auto,3000,petrol,145,40.4,1.5
x3,2019-01-01,35564,semi-auto,642,diesel,145,54.3,2.0
3 series,2018-01-01,25450,semi-auto,16735,diesel,145,51.4,3.0
x1,2014-01-01,10950,semi-auto,52900,diesel,160,52.3,2.0
z4,2019-01-01,31488,automatic,3644,petrol,145,38.7,2.0
1 series,2019-01-01,16888,automatic,11747,diesel,145,72.4,1.5
5 series,2019-01-01,39995,automatic,10,hybrid,135,156.9,2.0
4 series,2019-01-01,33995,automatic,10,diesel,145,60.1,2.0
4 series,2019-01-01,32995,automatic,10,petrol,145,48.7,2.0
4 series,2019-01-01,39995,automatic,10,diesel,145,60.1,2.0
2 series,2019-01-01,22995,manual,10,petrol,145,42.8,1.5
2 series,2019-01-01,26972,manual,10,petrol,145,52.3,1.5
x5,2019-01-01,46490,semi-auto,13015,diesel,145,37.7,3.0
3 series,2019-01-01,27495,manual,1841,diesel,145,54.3,2.0
4 series,2019-01-01,34995,automatic,10,petrol,145,48.7,2.0
4 series,2019-01-01,39995,automatic,10,diesel,145,50.4,3.0
1 series,2019-01-01,16888,automatic,8503,diesel,145,72.4,1.5
x1,2017-01-01,16995,manual,19980,diesel,20,68.9,2.0
1 series,2016-01-01,18995,semi-auto,24075,petrol,235,37.7,3.0
1 series,2017-01-01,13995,semi-auto,42430,diesel,145,70.6,2.0
x3,2019-01-01,36990,semi-auto,5527,diesel,145,48.7,3.0
3 series,2014-01-01,13995,semi-auto,67319,diesel,30,62.8,2.0
x3,2019-01-01,36990,semi-auto,5104,diesel,145,54.3,2.0
x2,2019-01-01,27990,semi-auto,8592,diesel,145,58.9,2.0
3 series,2019-01-01,39995,automatic,999,petrol,145,34.9,3.0
x1,2020-01-01,21999,manual,18,petrol,145,51.4,1.5
1 series,2019-01-01,23295,semi-auto,4694,diesel,150,57.7,1.5
x5,2016-01-01,28995,automatic,46085,diesel,200,47.1,3.0
8 series,2020-01-01,62995,semi-auto,11,petrol,145,31.7,3.0
3 series,2013-01-01,12995,manual,37333,diesel,150,55.4,2.0
i3,2017-01-01,18995,automatic,33021,hybrid,0,470.8,0.0
