model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize
4 series,2019-01-01,22500,semi-auto,5623,diesel,145,65.7,2.0
m4,2018-01-01,43500,semi-auto,2577,petrol,150,34.0,3.0
2 series,2015-01-01,18700,semi-auto,43617,petrol,265,37.2,3.0
x5,2015-01-01,26000,automatic,52936,diesel,205,47.1,3.0
7 series,2017-01-01,34000,semi-auto,25000,diesel,150,53.3,3.0
3 series,2014-01-01,15000,semi-auto,56000,diesel,150,55.4,2.0
3 series,2017-01-01,18300,semi-auto,20000,diesel,150,62.8,2.0
4 series,2015-01-01,15990,semi-auto,87597,diesel,160,51.4,3.0
3 series,2013-01-01,9995,manual,74449,petrol,200,41.5,2.0
x2,2019-01-01,23498,semi-auto,3241,petrol,150,40.4,2.0
3 series,2019-01-01,34450,semi-auto,3500,diesel,145,45.6,3.0
x7,2019-01-01,67400,semi-auto,5600,diesel,150,33.6,3.0
7 series,2019-01-01,47990,semi-auto,7780,petrol,145,34.5,3.0
x3,2020-01-01,35900,semi-auto,4500,diesel,150,54.3,2.0
4 series,2016-01-01,18498,semi-auto,24188,diesel,145,55.4,3.0
x1,2017-01-01,18998,semi-auto,26939,diesel,145,65.7,2.0
x1,2018-01-01,16995,semi-auto,17276,petrol,150,46.3,1.5
3 series,2017-01-01,20998,semi-auto,26252,diesel,145,51.4,3.0
3 series,2017-01-01,15998,semi-auto,19675,petrol,125,51.4,2.0
1 series,2019-01-01,29000,semi-auto,100,diesel,150,48.7,2.0
x5,2019-01-01,51000,semi-auto,6000,diesel,150,37.7,3.0
x5,2017-01-01,29945,automatic,30207,diesel,200,47.1,3.0
5 series,2018-01-01,24595,semi-auto,28502,diesel,145,65.7,2.0
5 series,2014-01-01,13990,semi-auto,73837,diesel,160,51.4,3.0
3 series,2017-01-01,14990,semi-auto,48604,diesel,30,67.3,2.0
5 series,2017-01-01,22990,semi-auto,33492,diesel,145,60.1,2.0
5 series,2013-01-01,10495,semi-auto,83380,diesel,125,57.6,2.0
4 series,2018-01-01,22595,semi-auto,18937,petrol,145,48.7,2.0
3 series,2019-01-01,27995,semi-auto,2460,diesel,145,53.3,2.0
