date,open,high,low,close,volume,daily_return_pct,daily_range,ma_20,ma_50,ma_200,ema_12,ema_26,macd,macd_signal,bb_upper,bb_lower,bb_width,rsi_14,volume_ma_20,cumulative_return_pct,year,month,quarter,day_of_week
2019-07-09,156.2,156.4,154.25,156.0,72717,-0.6686,2.15,150.8825,150.405,148.4468,153.8244,151.5781,2.2463,1.3668,159.3303,142.4347,16.8956,69.3499,61599.2,796.06,2019,7,3,tuesday
2019-07-10,155.2,157.45,154.1,154.4,74994,-1.0256,3.35,151.3125,150.277,148.4733,153.913,151.7871,2.1258,1.5186,159.5438,143.0812,16.4625,60.5422,62807.5,786.87,2019,7,3,wednesday
2019-07-11,154.3,155.85,153.1,154.35,96586,-0.0324,2.75,151.735,150.176,148.4895,153.9802,151.977,2.0032,1.6155,159.6582,143.8118,15.8464,61.8462,64934.5,786.58,2019,7,3,thursday
2019-07-12,152.05,157.05,151.7,155.3,97488,0.6155,5.35,152.295,149.996,148.5005,154.1833,152.2231,1.9601,1.6845,159.4964,145.0936,14.4028,66.8693,67286.95,792.04,2019,7,3,friday
2019-07-15,155.4,157.5,155.4,156.95,56888,1.0625,2.1,152.8925,149.865,148.5288,154.6089,152.5733,2.0356,1.7547,159.5042,146.2808,13.2235,78.0864,67064.05,801.52,2019,7,3,monday
2019-07-16,156.85,157.55,155.75,157.5,52826,0.3504,1.8,153.385,149.807,148.5738,155.0537,152.9382,2.1155,1.8269,159.8175,146.9525,12.865,76.0943,66462.65,804.68,2019,7,3,tuesday
2019-07-17,156.8,157.7,154.9,155.15,36341,-1.4921,2.8,153.655,149.78,148.603,155.0685,153.102,1.9665,1.8548,159.8955,147.4145,12.481,64.9851,64957.95,791.18,2019,7,3,wednesday
2019-07-18,154.1,155.15,152.9,152.9,78899,-1.4502,2.25,153.755,149.699,148.609,154.7349,153.0871,1.6478,1.8134,159.8725,147.6375,12.235,54.8476,66114.85,778.26,2019,7,3,thursday
2019-07-19,153.1,154.75,152.7,153.45,84680,0.3597,2.05,153.9025,149.667,148.6258,154.5372,153.114,1.4232,1.7354,159.8288,147.9762,11.8527,53.1609,67031.35,781.42,2019,7,3,friday
2019-07-22,153.0,155.05,152.5,154.45,55296,0.6517,2.55,154.1375,149.731,148.645,154.5238,153.2129,1.3109,1.6505,159.7341,148.5409,11.1932,53.5612,67811.05,787.16,2019,7,3,monday
2019-07-23,154.6,160.75,154.6,159.95,136792,3.561,6.15,154.7425,149.943,148.6873,155.3586,153.712,1.6466,1.6497,160.0877,149.3973,10.6903,59.3516,71013.1,818.75,2019,7,3,tuesday
2019-07-24,159.7,162.5,159.1,161.35,61897,0.8753,3.4,155.3225,150.158,148.7415,156.2804,154.2778,2.0026,1.7203,160.8991,149.7459,11.1532,59.0452,70907.85,826.79,2019,7,3,wednesday
2019-07-25,162.1,164.3,156.7,158.2,116456,-1.9523,7.6,155.7275,150.298,148.7955,156.5757,154.5683,2.0074,1.7777,160.8665,150.5885,10.2779,52.9279,72904.05,808.7,2019,7,3,thursday
2019-07-26,158.5,159.85,157.35,158.7,58184,0.3161,2.5,156.105,150.486,148.8625,156.9025,154.8743,2.0282,1.8278,160.9276,151.2824,9.6453,53.6585,71819.85,811.57,2019,7,3,friday
